"Value.SSB","StdDev.SSB","Value.Recr","StdDev.Recr","Value.SPRratio","StdDev.SPRratio","Value.F","StdDev.F","Value.Bratio","StdDev.Bratio","Value.ForeCatch","StdDev.ForeCatch","Value.OFLCatch","StdDev.OFLCatch","Value.lnSPB","StdDev.lnSPB","Value.SURVEY1","StdDev.SURVEY1","year","model_run","scenarios"
48516,1309.64,3529.76,1054.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.7896,0.0269939,NA,NA,"1971","iteration_1","em_recdev_2"
48515.5,1309.58,3171.44,1139.26,0.0238904,0.000575136,0.00207725,7.69822e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1972","iteration_1","em_recdev_2"
48426.3,1308.72,3324.34,1166.01,0.110326,0.00243562,0.0103839,0.000385065,4.65279,1.13598,NA,NA,NA,NA,NA,NA,NA,NA,"1973","iteration_1","em_recdev_2"
47980.6,1303.79,3612.88,1326.72,0.113818,0.0024926,0.0107485,0.000397545,4.60997,1.12535,NA,NA,NA,NA,NA,NA,NA,NA,"1974","iteration_1","em_recdev_2"
47452.3,1289.87,5786.3,1684.16,0.207581,0.00405314,0.0215541,0.000791078,4.55922,1.11323,NA,NA,NA,NA,NA,NA,NA,NA,"1975","iteration_1","em_recdev_2"
46352.3,1259.57,5345.09,2135.81,0.290342,0.00506654,0.0330815,0.00120264,4.45353,1.08811,NA,NA,NA,NA,NA,NA,NA,NA,"1976","iteration_1","em_recdev_2"
44644.5,1212.82,11936.4,2459.87,0.372763,0.00577481,0.0470847,0.00169764,4.28944,1.0492,NA,NA,NA,NA,NA,NA,11.9848,0.119807,"1977","iteration_1","em_recdev_2"
42327.8,1153.68,5273.36,2149.26,0.446722,0.00618136,0.0626018,0.00224977,4.06685,0.996242,NA,NA,NA,NA,NA,NA,NA,NA,"1978","iteration_1","em_recdev_2"
39546.7,1086.47,6827.24,1993.42,0.513869,0.00636441,0.0800751,0.0028901,3.79964,0.932489,NA,NA,NA,NA,NA,NA,NA,NA,"1979","iteration_1","em_recdev_2"
36507.3,1013.93,4367.85,1743.1,0.61734,0.0062536,0.116772,0.00428835,3.50762,0.862779,NA,NA,NA,NA,NA,NA,11.8227,0.118924,"1980","iteration_1","em_recdev_2"
32961.5,935.399,7825.45,1893.07,0.699736,0.0058434,0.160544,0.00609669,3.16694,0.780994,NA,NA,NA,NA,NA,NA,NA,NA,"1981","iteration_1","em_recdev_2"
29117,853.507,4450.6,1868.17,0.727544,0.00571847,0.180185,0.00712019,2.79756,0.692091,NA,NA,NA,NA,NA,NA,NA,NA,"1982","iteration_1","em_recdev_2"
25739.6,775.963,10262,2177.03,0.755746,0.0055566,0.203843,0.0083661,2.47306,0.614572,NA,NA,NA,NA,NA,NA,11.5362,0.117155,"1983","iteration_1","em_recdev_2"
22659.1,704.916,6069.57,2048.55,0.78677,0.00535415,0.235745,0.0100715,2.17708,0.54426,NA,NA,NA,NA,NA,NA,NA,NA,"1984","iteration_1","em_recdev_2"
19715.8,641.539,5318.61,1752.21,0.807686,0.00532495,0.261975,0.0117258,1.8943,0.477205,NA,NA,NA,NA,NA,NA,NA,NA,"1985","iteration_1","em_recdev_2"
17072.9,588.101,5682.01,1622.53,0.832729,0.00524759,0.30036,0.0142583,1.64036,0.417325,NA,NA,NA,NA,9.74525,0.0344465,11.2227,0.113283,"1986","iteration_1","em_recdev_2"
14659,545.453,5107.17,1352.96,0.857795,0.00522064,0.349637,0.0179507,1.40843,0.363017,NA,NA,NA,NA,NA,NA,NA,NA,"1987","iteration_1","em_recdev_2"
12467.2,516.219,2723.42,1039.95,0.864452,0.00583156,0.365208,0.0206015,1.19785,0.314279,NA,NA,NA,NA,NA,NA,NA,NA,"1988","iteration_1","em_recdev_2"
10780.5,506.324,5207.24,1329.72,0.865459,0.00688187,0.367672,0.0230482,1.03579,0.278128,NA,NA,NA,NA,NA,NA,10.8696,0.105924,"1989","iteration_1","em_recdev_2"
9498.44,517.509,5028.01,1489.07,0.864349,0.00836843,0.364957,0.0258172,0.91261,0.252297,NA,NA,NA,NA,NA,NA,NA,NA,"1990","iteration_1","em_recdev_2"
8488.48,548.837,5571.66,1937.09,0.856769,0.0106107,0.347345,0.0281435,0.815572,0.233671,NA,NA,NA,NA,NA,NA,NA,NA,"1991","iteration_1","em_recdev_2"
7721.66,598.051,22193.1,3642.68,0.790985,0.016252,0.24068,0.0220266,0.741896,0.221641,NA,NA,NA,NA,NA,NA,10.617,0.102188,"1992","iteration_1","em_recdev_2"
