###
console output
2024-04-30 16:59:40.051385
###
 
 reading from starter.ss
 reading from data file
Data read successful 999

 reading forecast file 
 reading from control file
End of control file successful! 999
Begin setting up parameters ...  end of parameter section 
Evaluating biology calculations once ... done
Starting optimization of 'ss3' in phase 1 of 5 at Tue Apr 30 16:45:55 2024
phase= 1 | nvar=  3 | iter=  0 | nll=1.63e+03 | mag=2.30e+05 | par[  1]=SR_parm[1]
phase= 1 | nvar=  3 | iter= 15 | nll=1.03e+03 | mag=1.43e+00 | par[  1]=SR_parm[1]
phase= 2 | nvar= 38 | iter=  0 | nll=1.03e+03 | mag=1.17e+04 | par[ 36]=selparm[1]
phase= 2 | nvar= 38 | iter= 20 | nll=7.79e+02 | mag=7.69e+05 | par[  2]=SR_parm[1]
phase= 2 | nvar= 38 | iter= 40 | nll=7.70e+02 | mag=6.89e+06 | par[  2]=SR_parm[1]
Exiting without success due to excessive function evaluations (maxfn=100) | mag=523187
phase= 2 | nvar= 38 | iter= 57 | nll=7.25e+02 | mag=5.23e+05 | par[  2]=SR_parm[1]
phase= 3 | nvar= 40 | iter=  0 | nll=7.24e+02 | mag=5.23e+05 | par[  2]=SR_parm[1]
phase= 3 | nvar= 40 | iter= 20 | nll=7.02e+02 | mag=4.26e+05 | par[  2]=SR_parm[1]
phase= 3 | nvar= 40 | iter= 40 | nll=7.00e+02 | mag=5.01e+05 | par[  2]=SR_parm[1]
Exiting without success due to excessive function evaluations (maxfn=100) | mag=445652
phase= 3 | nvar= 40 | iter= 58 | nll=6.92e+02 | mag=4.46e+05 | par[  2]=SR_parm[1]
phase= 4 | nvar= 50 | iter=  0 | nll=6.92e+02 | mag=4.46e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter= 20 | nll=6.82e+02 | mag=2.90e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter= 40 | nll=6.81e+02 | mag=5.36e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter= 60 | nll=6.73e+02 | mag=1.11e+06 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter= 80 | nll=6.71e+02 | mag=6.71e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=100 | nll=6.70e+02 | mag=1.10e+06 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=120 | nll=6.70e+02 | mag=6.96e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=140 | nll=6.69e+02 | mag=6.07e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=160 | nll=6.69e+02 | mag=5.52e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=180 | nll=6.68e+02 | mag=2.66e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=200 | nll=6.68e+02 | mag=4.93e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=220 | nll=6.68e+02 | mag=1.38e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=240 | nll=6.68e+02 | mag=3.73e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=260 | nll=6.67e+02 | mag=1.21e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=280 | nll=6.67e+02 | mag=2.58e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=300 | nll=6.67e+02 | mag=2.60e+04 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=320 | nll=6.67e+02 | mag=2.62e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=340 | nll=6.67e+02 | mag=4.43e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=360 | nll=6.67e+02 | mag=1.36e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=380 | nll=6.66e+02 | mag=8.29e+04 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=400 | nll=6.66e+02 | mag=6.87e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=420 | nll=6.66e+02 | mag=8.66e+04 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=440 | nll=6.66e+02 | mag=2.81e+04 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=460 | nll=6.66e+02 | mag=2.38e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=480 | nll=6.65e+02 | mag=1.70e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=500 | nll=6.65e+02 | mag=2.18e+04 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=520 | nll=6.65e+02 | mag=2.83e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=540 | nll=6.65e+02 | mag=1.85e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=560 | nll=6.65e+02 | mag=1.29e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=580 | nll=6.65e+02 | mag=1.21e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=600 | nll=6.65e+02 | mag=2.25e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=620 | nll=6.65e+02 | mag=9.33e+04 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=640 | nll=6.65e+02 | mag=8.36e+04 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=660 | nll=6.65e+02 | mag=7.64e+04 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=680 | nll=6.65e+02 | mag=9.63e+04 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=700 | nll=6.65e+02 | mag=2.23e+04 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=720 | nll=6.65e+02 | mag=9.97e+04 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=740 | nll=6.65e+02 | mag=9.89e+04 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=760 | nll=6.65e+02 | mag=2.26e+04 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=780 | nll=6.65e+02 | mag=2.30e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=800 | nll=6.65e+02 | mag=3.40e+04 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=820 | nll=6.65e+02 | mag=2.35e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=840 | nll=6.65e+02 | mag=2.83e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=860 | nll=6.64e+02 | mag=1.90e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=880 | nll=6.64e+02 | mag=1.11e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=900 | nll=6.64e+02 | mag=7.33e+04 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=920 | nll=6.64e+02 | mag=6.85e+04 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=940 | nll=6.64e+02 | mag=7.83e+04 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=960 | nll=6.64e+02 | mag=7.18e+04 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=980 | nll=6.64e+02 | mag=1.77e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=1000 | nll=6.64e+02 | mag=2.18e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=1020 | nll=6.64e+02 | mag=1.12e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=1040 | nll=6.64e+02 | mag=1.93e+05 | par[  6]=SR_parm[1]
